name,formatted_address,business_status,url,vicinity,category_1,category_2,latitude,longitude
Alumni Boardshop,"1150 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=2690018593773068425,"1150 Williamson Street, Madison",clothes,shoe_store,,
A Woman's Touch,"302 S Livingston St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=1390403653349473917,"302 South Livingston Street, Madison",clothes,clothes_store,,
St. Vincent De Paul Store,"1309 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10564206575946968534,"1309 Williamson Street, Madison",clothes,clothes_store,,
Good Style Shop,"817 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3285666415864813365,"817 East Johnson Street, Madison",clothes,clothes_store,,
Upshift,"836 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=17699600896964089648,"836 East Johnson Street, Madison",clothes,clothes_store,,
Shopbop,"1301 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13181464201838148086,"1301 East Washington Avenue, Madison",clothes,clothes_store,,
Monirose - Bespoke Gowns,"116 N Few St, Madison, WI 53704, USA",OPERATIONAL,https://maps.google.com/?cid=17809175230884268246,"116 North Few Street, Madison",clothes,clothes_store,,
Forward Madison FC Club Shop,"3 N Paterson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13523456827814730432,"3 North Paterson Street, Madison",clothes,clothes_store,,
Lev Apparel,"100 S Baldwin St suite 300-a, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13583368384084308501,"100 South Baldwin Street suite 300-a, Madison",clothes,clothes_store,,
"Pikku Takki, LLC","100 S Baldwin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16834641596730939729,"100 South Baldwin Street, Madison",clothes,clothes_store,,
Change Boutique,"1252 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=2353070181956909925,"1252 Williamson Street, Madison",clothes,clothes_store,,
Brass Ring Bar & Restaurant,"701 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10753037842015802806,"701 East Washington Avenue, Madison",food,restaurant,,
Willy Street Co-op,"1221 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=9581561580181019737,"1221 Williamson Street, Madison",food,restaurant,,
Essen Haus Restaurant and Bar,"514 E Wilson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5036223470101885794,"514 East Wilson Street, Madison",food,restaurant,,
Weary Traveler Freehouse,"1201 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15227207329581465882,"1201 Williamson Street, Madison",food,restaurant,,
Bandung Indonesian Restaurant,"600 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16496891173457802539,"600 Williamson Street, Madison",food,restaurant,,
