name,formatted_address,business_status,url,vicinity
Asian Midway Foods,"301 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=304616636444102595,"301 South Park Street, Madison"
Taqueria Guadalajara,"1033 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=8716120561867797073,"1033 South Park Street, Madison"
Famous Dave's Bar-B-Que,"900 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=1738171035976430290,"900 South Park Street, Madison"
Subway,"1 S Park St, Madison, WI 53715, USA",CLOSED_TEMPORARILY,https://maps.google.com/?cid=13724597072331827302,"1 South Park Street, Madison"
Subway,"951 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=2018643130914186365,"951 South Park Street, Madison"
Dunkin',"801 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=14796897022598596062,"801 South Park Street, Madison"
La Hacienda,"515 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=13799576914272490626,"515 South Park Street, Madison"
Edo | Asian cuisine,"532 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=2683440487016051589,"532 South Park Street, Madison"
Falbo Bros. Pizza,"406 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=4565135918238999915,"406 South Park Street, Madison"
QDOBA Mexican Eats,"2 N Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=9717008239705126779,"2 North Park Street, Madison"
Hong Kong Cafe,"2 S Mills St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=3995256733322063614,"2 South Mills Street, Madison"
Subway,"700 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=13984109287967541399,"700 South Park Street, Madison"
Pizza Hut,"520 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=15455296358140421656,"520 South Park Street, Madison"
Greenbush Bar,"914 Regent St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=10271006654875885516,"914 Regent Street, Madison"
Ichiban Sichuan Restaurant,"610 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=8257862634953367767,"610 South Park Street, Madison"
El Rancho Mexican Grill,"819 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=13696819129097090546,"819 South Park Street, Madison"
Quiznos,"318 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=7886969200563004232,"318 South Park Street, Madison"
Ramen Station,"1124 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=6776423897223393695,"1124 South Park Street, Madison"
Orient House Chinese Restaurant,"626 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=12867797644344190878,"626 South Park Street, Madison"
Buckingham's Bar & Grill,"802 Regent St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=10503992514100503825,"802 Regent Street, Madison"
bp,"318 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=1131724674410902781,"318 South Park Street, Madison"
Oriental Wok,"532 S Park St #1620, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=12480775798575519663,"532 South Park Street #1620, Madison"
The Curve,"653 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=7783583460318332662,"653 South Park Street, Madison"
Chamo´s Latin Food Lab,"613 S Brooks St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=5874748281204176735,"613 South Brooks Street, Madison"
The Bread Basket,"700 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=3931993107675343677,"700 South Park Street, Madison"
Sunny Pho,"602 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=5370811490977835508,"602 South Park Street, Madison"
King of Falafel,"1129 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=17754538512205568578,"1129 South Park Street, Madison"
Glacier Express,"551 S Randall Ave, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=13949124525107028244,"551 South Randall Avenue, Madison"
Glacier Grille,"702 S Randall Ave, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=15238668301346799365,"702 South Randall Avenue, Madison"
UnityPoint Health - Meriter Cafe,"202 S Park St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=16369135757313416374,"202 South Park Street, Madison"
Sweet Home Wisconsin,"910 Regent St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=5085962313249099689,"910 Regent Street, Madison"
Asian Noodle,"902 Regent St, Madison, WI 53715, USA",OPERATIONAL,https://maps.google.com/?cid=14653948858208967306,"902 Regent Street, Madison"
